m_up	B_up	B_up_err	m_down	B_down	B_down_err	m_down_neg	B_down_neg	B_down_neg_err	m_up_neg	B_up_neg	B_up_neg_err
0.0149	0.376996	0.001228	0.0019	0.2209	0.00094	0.0102	0.342225	-0.00117	-0.0005	0.205209	-0.000906
0.0155	0.390625	0.00125	0.0014	0.210681	0.000918	0.0108	0.354025	-0.00119	-0.0008	0.196249	-0.000886
0.016	0.401956	0.001268	0.0008	0.198916	0.000892	0.0114	0.366025	-0.00121	-0.0014	0.186624	-0.000864
0.0167	0.417316	0.001292	0	0.189225	0.00087	0.0121	0.378225	-0.00123	-0.002	0.177241	-0.000842
0.0173	0.426409	0.001306	-0.0004	0.180625	0.00085	0.0129	0.389376	-0.001248	-0.0025	0.1681	-0.00082
0.0176	0.438244	0.001324	-0.0009	0.170569	0.000826	0.0133	0.401956	-0.001268	-0.0029	0.158404	-0.000796
0.0184	0.4489	0.00134	-0.0012	0.160801	0.000802	0.014	0.413449	-0.001286	-0.0031	0.149769	-0.000774
0.0187	0.461041	0.001358	-0.0019	0.149769	0.000774	0.0144	0.425104	-0.001304	-0.0035	0.139876	-0.000748
0.0195	0.471969	0.001374	-0.0024	0.141376	0.000752	0.0151	0.436921	-0.001322	-0.0042	0.131769	-0.000726
0.02	0.484416	0.001392	-0.0029	0.132496	0.000728	0.0156	0.444889	-0.001334	-0.0045	0.123201	-0.000702
0.0204	0.494209	0.001406	-0.0034	0.123904	0.000704	0.0162	0.456976	-0.001352	-0.005	0.114921	-0.000678
0.021	0.505521	0.001422	-0.004	0.1156	0.00068	0.0169	0.469225	-0.00137	-0.005	0.107584	-0.000656
0.0216	0.515524	0.001436	-0.0043	0.107584	0.000656	0.0174	0.477481	-0.001382	-0.0054	0.099225	-0.00063
0.022	0.525625	0.00145	-0.0048	0.099225	0.00063	0.0178	0.485809	-0.001394	-0.0057	0.091809	-0.000606
0.0227	0.535824	0.001464	-0.0054	0.091204	0.000604	0.0182	0.495616	-0.001408	-0.0062	0.085264	-0.000584
0.0231	0.546121	0.001478	-0.0057	0.0841	0.00058	0.0186	0.5041	-0.00142	-0.0064	0.077284	-0.000556
0.0235	0.555025	0.00149	-0.0061	0.07634169	0.00005526	0.0191	0.515524	-0.001436	-0.0067	0.071289	-0.000534
0.0241	0.5625	0.0015	-0.0061	0.06943225	0.0000527	0.0196	0.527076	-0.001452	-0.007	0.064516	-0.000508
0.0245	0.571536	0.001512	-0.0064	0.06295081	0.00005018	0.0201	0.537289	-0.001466	-0.0073	0.059049	-0.000486
0.0248	0.582169	0.001526	-0.0067	0.07480225	0.0000547	0.0205	0.544644	-0.001476	-0.0077	0.0529	-0.00046
